Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	0.0	0.0	0.0	0.0	1000.0	-25.715588	0.29400522	-25.168406	-26.25825	140000	-1.0700226e-07	562.1335	0.0	-534.401	0.0	0.0	0.0	79.0	114.10237240791321
28	0.0	0.0	0.0	0.0	1000.0	-1.4723427	0.040914	-1.3705521	-1.583931	145000	1.6832351e-07	1.8289955	0.0	115.87363	0.0	0.0	0.0	79.0	118.19857287406921
29	0.0	0.0	0.0	0.0	1000.0	10.988492	0.08672607	11.187065	10.804253	150000	-4.447937e-07	102.7945	0.0	14989.114	0.0	0.0	0.0	79.0	122.59211778640747
30	0.0	0.0	0.0	0.0	1000.0	-125.95035	1.219648	-123.81482	-128.09558	155000	3.8337708e-07	13492.0625	0.0	-12861.601	0.0	0.0	0.0	79.0	126.68607497215271
31	0.0	0.0	0.0	0.0	1000.0	-11.853615	0.13549973	-11.575559	-12.119016	160000	-2.3097992e-07	119.54829	0.0	-113.92247	0.0	0.0	0.0	79.0	132.9159004688263
32	0.0	0.0	0.0	0.0	1000.0	-1.5829802	0.042693272	-1.4647183	-1.7000699	165000	-6.328583e-07	2.1368823	0.0	-2.0341704	0.0	0.0	0.0	79.0	137.61893010139465
33	0.0	0.0	0.0	0.0	1000.0	-0.17813313	0.032313436	-0.08874172	-0.2742886	170000	1.2817382e-07	0.028043054	0.0	0.24881381	0.0	0.0	0.0	79.0	141.70397758483887
34	0.0	0.0	0.0	0.0	1000.0	-0.6407415	0.03407996	-0.54333156	-0.7371792	175000	-1.17111206e-07	0.3483384	0.0	79607.875	0.0	0.0	0.0	79.0	146.15367317199707
35	0.0	0.0	0.0	0.0	1000.0	290.1775	2.339329	294.23212	286.09198	180000	-6.435394e-07	71621.44	0.0	-68213.8	0.0	0.0	0.0	79.0	151.215500831604
36	0.0	0.0	0.0	0.0	1000.0	38.236027	0.28163674	38.758007	37.717968	185000	-1.11579894e-07	1243.504	0.0	-1185.3916	0.0	0.0	0.0	79.0	156.2058823108673
37	0.0	0.0	0.0	0.0	1000.0	3.420065	0.019688046	3.4948223	3.3493145	190000	-1.3370514e-07	9.944024	0.0	-9.450269	0.0	0.0	0.0	79.0	160.33745574951172
38	0.0	0.0	0.0	0.0	1000.0	0.101001926	0.027221806	0.1862283	0.018259555	195000	1.9073486e-10	0.009109459	0.0	0.093387745	0.0	0.0	0.0	79.0	164.5629005432129
39	0.0	0.0	0.0	0.0	1000.0	0.26803246	0.02738414	0.36982203	0.17841579	200000	-2.6397706e-07	0.061728332	0.0	1259779.6	0.0	0.0	0.0	79.0	168.9337875843048
40	0.0	0.0	0.0	0.0	1000.0	1150.7529	8.185228	1164.928	1136.5662	205000	-2.561569e-07	1126481.1	0.0	-1074010.0	0.0	0.0	0.0	79.0	173.65925431251526
41	0.0	0.0	0.0	0.0	1000.0	112.6757	0.765216	114.03781	111.31027	210000	-2.5157928e-07	10800.356	0.0	47865.61	0.0	0.0	0.0	79.0	178.119487285614
42	0.0	0.0	0.0	0.0	1000.0	258.3929	1.7393146	261.44556	255.32983	215000	-1.926422e-08	56797.055	0.0	-54152.902	0.0	0.0	0.0	79.0	182.85287070274353
43	0.0	0.0	0.0	0.0	1000.0	26.544619	0.16139871	26.877684	26.223387	220000	6.801605e-07	599.31995	0.0	-570.52966	0.0	0.0	0.0	79.0	187.35465264320374
44	0.0	0.0	0.0	0.0	1000.0	3.598905	0.022533279	3.68823	3.5065894	225000	8.140564e-07	11.029331	0.0	227777.05	0.0	0.0	0.0	79.0	191.51762461662292
45	0.0	0.0	0.0	0.0	1000.0	488.3039	3.0827398	493.66287	482.9622	230000	-5.1078797e-07	202843.23	0.0	4295868.5	0.0	0.0	0.0	79.0	195.84500360488892
46	0.0	0.0	0.0	0.0	1000.0	-2115.7898	13.154411	-2092.9758	-2138.5627	235000	-2.975464e-07	3808357.5	0.0	-3631135.5	0.0	0.0	0.0	79.0	200.0063066482544
47	0.0	0.0	0.0	0.0	1000.0	-214.44897	1.3185747	-212.12914	-216.7888	240000	-1.876831e-07	39122.24	0.0	-8920.518	0.0	0.0	0.0	79.0	204.01139068603516
48	0.0	0.0	0.0	0.0	1000.0	-193.82558	1.1674614	-191.78047	-195.88985	245000	1.1253357e-08	31959.488	0.0	-30455.607	0.0	0.0	0.0	79.0	208.02238082885742
49	0.0	0.0	0.0	0.0	1000.0	-15.497687	0.1070486	-15.254586	-15.737008	250000	4.3201447e-07	204.23593	0.0	100098.23	0.0	0.0	0.0	79.0	212.62614154815674
