Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	-4.0	3.0983868	-1.0	-9.0	1000.0	4.832178	0.6932741	29.854294	4.671509	145000	5.41687e-08	22.443037	-0.0009421839	-19.684013	0.0727163	0.00038803744	0.0094	79.0	80.3796968460083
29	-6.0	3.4641016	-1.0	-10.0	1000.0	1.3268385	0.5482557	20.642128	0.7986755	150000	8.8500975e-08	2.7942483	-0.001835894	-2.1787767	0.11028165	0.00088689453	0.0102	79.0	83.10136008262634
30	195.8	401.60898	999.0	-10.0	800.2	0.30199414	0.42472088	19.18884	0.09182495	155000	4.348755e-08	188.57207	-0.0028471544	-1.8059998	0.054962542	0.00047054866	0.0072	79.0	86.20570993423462
31	-5.2	3.867816	-2.0	-12.0	1000.0	-0.0015466522	0.6324649	29.52458	-0.18994957	160000	1.0299683e-08	0.95085275	-0.0067631337	-0.12777627	0.06430236	0.0010983229	0.0102	79.0	89.05408596992493
32	-16.4	23.32895	-3.0	-63.0	1000.0	-0.11422881	0.16788167	6.674696	-0.23885131	165000	-7.839203e-07	9.0532465	-0.0041817776	-1.2861886	0.1737596	0.0010148237	0.008	79.0	91.91412806510925
33	-3.6	0.8	-3.0	-5.0	1000.0	-0.7895825	0.39825195	23.199717	-0.84185636	170000	6.4849854e-09	0.6037224	-0.0050248215	-0.26463452	0.14261414	0.0013354393	0.0092	79.0	94.82825493812561
34	197.2	400.9007	999.0	-4.0	800.2	-0.49020332	0.3417796	19.58212	-0.60501665	175000	1.0681152e-08	188.18907	-0.0028519721	-9.718323	0.07504524	0.0016847162	0.0054	79.0	97.71464490890503
35	-0.2	109.922516	194.0	-144.0	960.6	0.40156874	1.9814707	23.863111	-0.35529768	180000	-5.4359437e-09	432.1042	-0.0029733502	-33.461914	0.28179213	0.0073651792	0.0454	79.0	100.78801774978638
36	-4.4	1.8547237	-2.0	-7.0	1000.0	-0.22595474	0.5430962	17.47518	-0.4179113	185000	5.531311e-09	0.5969247	-0.007445506	-0.12207818	0.09578321	0.007354979	0.0166	79.0	103.67795705795288
37	-9.4	8.822698	-4.0	-27.0	1000.0	-0.19641472	0.46634403	22.223993	-0.42419922	190000	-9.384155e-08	1.9243094	-0.011341441	-0.4191457	0.08129051	0.012386809	0.0312	43.0	106.35234785079956
